Country,Year,Water Source Type,pH Level,Dissolved Oxygen ,Diarrhea,Typhoid,Rainfall
India,2009,Tap,8.06,8.96,78.45,31,59.23
Brazil,2010,Pond,7.4,7.49,65.03,7,62.88
Pakistan,2016,Spring,6.66,4.23,79.54,37,59.47
India,2024,River,6.32,4.11,83.55,28,69.81
Ethiopia,2022,Tap,7.24,5.89,86.26,30,60.83
Pakistan,2006,Spring,7.02,3.53,88.45,18,94.99
Ethiopia,2011,Tap,7.75,8.29,89.31,8,30.49
Nigeria,2020,Pond,8.26,5.81,58.88,27,21.07
India,2006,Spring,8.01,5.4,92.25,47,61.74
Brazil,2011,Spring,6.69,6.56,80.37,49,81.17
Mexico,2014,River,8.2,7.96,88.73,38,71.86
Indonesia,2001,Well,8.08,6.99,99.24,39,97.02
China,2013,Pond,8.32,8.62,38.15,30,34.58
USA,2012,Pond,7.15,7.41,55.94,18,75.52
Brazil,2003,Spring,7.92,8.52,86.46,32,85.27
India,2013,Spring,7.48,7.88,36.04,25,92.97
Indonesia,2013,River,6.78,4.35,67.85,44,62.28
Brazil,2015,Well,8.49,3.37,90.09,0,49.05
India,2006,Pond,6.1,9.32,31.33,10,96.43
Bangladesh,2018,Lake,6.41,9.62,95.77,1,83.32
Bangladesh,2001,Lake,8.23,8.09,98.47,34,57.67
Ethiopia,2009,Well,6.15,8.07,52.56,12,72.09
Brazil,2017,Tap,8.22,4.89,83.68,38,42.29
Bangladesh,2016,River,7.79,6.8,38.9,33,69.19
India,2004,Well,6.09,9.95,84.1,33,63.2
Ethiopia,2011,Lake,7.07,8.99,63.71,34,23.14
India,2005,Spring,7.89,5.13,90.22,31,89.26
Ethiopia,2021,Lake,7.46,5.11,44.88,44,59.22
Brazil,2008,Spring,8.34,6.39,77.09,11,58.38
Indonesia,2019,River,8.17,5.83,85.03,32,42.67
Mexico,2000,Spring,6.83,5.6,44.17,17,35.71
Pakistan,2021,Well,6.21,7.39,87.28,4,43.31
Indonesia,2014,Spring,8.36,3.08,97.06,18,72
Nigeria,2020,Tap,7.29,8.34,73.13,30,27.81
India,2005,Well,6.19,8.18,84.94,26,46.63
Nigeria,2018,River,8.04,8.81,67.28,41,98.3
Indonesia,2017,Well,8.17,8.89,71.87,37,41.72
Ethiopia,2005,Tap,7.6,6.96,30.93,49,97.33
Pakistan,2012,River,7.12,8.46,66.7,14,28.38
Pakistan,2000,Lake,7.66,6.45,70.29,45,83.52
USA,2022,Tap,7.77,9.66,76.9,47,55.18
Pakistan,2022,River,8.23,4.33,41.86,3,35.59
Mexico,2012,Spring,8.39,9.41,46.9,18,82.99
Pakistan,2006,Well,7.29,4.81,82.92,20,20.56
Indonesia,2014,River,8,3.72,41.73,39,47.77
USA,2011,Well,8.41,6.07,59.12,0,68.39
Indonesia,2000,Spring,6.38,7.3,47.53,19,38.48
Indonesia,2014,River,6.05,4.62,68.16,21,46.6
China,2003,Lake,8.17,6.89,99.08,12,27.32
USA,2012,Tap,6.49,8.66,89.64,40,88.26
Indonesia,2022,River,6.11,4.8,48.86,0,53.77
China,2024,Spring,6.4,7.06,55.8,14,31.62
China,2004,River,6.96,5.38,94.3,14,35.93
USA,2001,Well,6.55,6.71,92.88,13,42.01
Nigeria,2022,Pond,6.76,7.67,41.24,4,38.36
Ethiopia,2000,River,8.44,5.45,88.05,48,60.26
Mexico,2015,Lake,7.76,9.96,50.83,5,92.42
Ethiopia,2022,River,7.78,6.95,68.07,40,34.71
Pakistan,2005,Tap,6.24,8.77,30.36,30,56.28
Mexico,2022,River,7.83,8.08,99.9,25,73.11
Pakistan,2015,Pond,7.85,8.97,83.28,24,34.7
Indonesia,2013,Well,7.65,4.22,46.92,48,32.32
India,2002,River,6.57,4.56,77.87,38,32.43
USA,2014,Lake,7.06,6.41,50.53,39,90.56
Mexico,2002,Spring,8.12,8.97,36.26,14,76.9
Mexico,2022,River,7.68,4.38,59.77,5,46.91
Indonesia,2001,River,7.83,9.8,72.96,0,92.2
Nigeria,2000,Tap,7.47,3.89,36.28,40,96.28
China,2008,Lake,7.12,4.23,66.29,6,51.86
Indonesia,2008,Pond,7.9,4.17,66.04,3,60.84
Bangladesh,2022,Spring,6.17,7.1,74.01,0,48.65
China,2006,Well,7.68,9.42,47.13,40,38.2
USA,2002,River,8.49,4.79,31.44,1,82.4
China,2017,Pond,7.95,6.87,52.74,47,71.93
Nigeria,2010,Spring,6.73,4.23,57.9,33,49.35
China,2006,Well,6.69,7.42,74.5,34,21.15
USA,2008,Pond,7.67,3.86,95.11,45,81.09
Nigeria,2000,Lake,8.24,6.44,44.24,12,58.19
Ethiopia,2013,Lake,7.44,7.59,78.11,16,25.85
Mexico,2019,Spring,7.32,7.05,36.82,9,29.96
Mexico,2005,Well,6.4,3.98,43.34,2,70.27
Pakistan,2006,Lake,7.79,4.13,65.64,3,63.71
Ethiopia,2009,Spring,7.76,7.7,79.59,24,39.24
Ethiopia,2006,Lake,8.42,8.66,90.1,36,31.19
China,2001,Lake,6.75,9.36,82.07,42,90.78
Mexico,2003,Pond,7.89,8.7,31.07,37,30.79
USA,2020,Pond,7.09,9.82,77.88,28,26.85
Brazil,2016,Lake,7.4,5.86,87.73,0,69.6
Brazil,2000,Tap,8.04,5.32,66.79,29,40.2
Nigeria,2009,Pond,6.55,3.2,97.59,38,72.53
Mexico,2018,Well,6.86,6.15,30.3,9,59.13
Mexico,2014,Spring,7.93,7.56,87.31,28,36.9
Brazil,2009,Spring,7.43,8.71,53.44,43,25.57
Mexico,2018,Well,6.23,4.87,75.53,31,25.65
China,2011,Well,7.08,6.6,78.54,43,66.87
Bangladesh,2023,Well,7.47,7.63,51.44,0,80.66
India,2015,Well,8.27,6.86,99.68,40,75.17
Ethiopia,2008,River,6.47,4.92,37.23,16,67.43
Pakistan,2014,Spring,8.01,8.57,40.99,11,36.87
Nigeria,2016,River,6.33,4.21,92.45,1,88.94
Bangladesh,2013,Lake,6.61,9.33,38.34,8,70.31
Brazil,2017,Lake,6.61,9.67,56.69,11,75.54
Ethiopia,2001,Spring,8.19,5.56,81.32,24,37.91
Mexico,2003,Lake,6.5,5.63,85.4,35,40.92
Pakistan,2017,Well,7.97,8.2,96.83,43,92.6
Mexico,2006,River,7.15,6.19,85.27,49,58.09
USA,2012,Well,8.5,3.2,89.12,34,64.31
USA,2014,Lake,8.1,9.44,96.46,21,28.86
Pakistan,2024,Pond,7.85,6.02,68.76,32,51.57
Pakistan,2022,River,8.18,4.42,54.04,49,90.96
Brazil,2021,Well,7.59,6.89,83.31,20,92.01
Pakistan,2000,Spring,8.11,4.53,41.45,39,78.41
China,2010,Well,6.65,4.44,34.78,21,63.65
Mexico,2009,Pond,6.24,6.82,84.97,27,94.47
Bangladesh,2024,Lake,7.54,5.74,96.55,3,89.75
Indonesia,2004,River,7.09,7.01,60.97,25,87.71
Pakistan,2015,Spring,7.07,9.98,41.28,22,90.54
Nigeria,2010,River,7.32,9.01,64.79,47,56.26
USA,2020,Spring,6.9,3.05,57.53,48,62.04
China,2005,River,7.57,3.35,56.07,22,53.92
Ethiopia,2008,Lake,6.08,7.27,73.97,40,79.21
Indonesia,2012,Spring,8.42,7.38,42.23,7,67.35
Bangladesh,2023,Tap,8.31,9.15,56.63,31,25.58
Indonesia,2007,River,8.34,7.4,90.81,38,30.93
Pakistan,2013,River,6.91,4.59,81.08,43,35.39
Brazil,2023,Well,7.33,6.28,33.89,0,73.64
USA,2000,Spring,8.39,8.66,65.97,29,28.78
USA,2016,Pond,8.26,9.46,36.39,27,63.27
Ethiopia,2023,Tap,7.98,4.66,97.02,16,87.27
Brazil,2004,Lake,7.02,6.78,47.12,22,95.8
Mexico,2024,Well,7.41,4.11,95.28,37,54.26
India,2001,Tap,7.98,6.48,88.38,23,62.67
China,2024,Spring,6.68,3.63,68.6,21,86.52
USA,2023,Tap,7.57,9.59,53.54,4,94.86
Nigeria,2008,River,8.07,7.47,90.06,24,51.19
USA,2003,River,7.77,8.98,40.69,6,48.24
Indonesia,2016,Well,7.2,9.99,42.6,21,56.07
USA,2016,Spring,7.46,4.28,45.73,43,40.3
USA,2020,Spring,8.47,7.86,71.84,36,88.77
India,2017,Tap,7.5,9.21,52,33,45.46
India,2015,Well,7.96,7.03,99.24,35,55.96
Bangladesh,2007,Spring,7.82,7.48,43.66,48,45.6
Mexico,2010,Pond,7.75,5.85,86.39,39,29.51
Nigeria,2020,Pond,7.79,7.72,36.71,19,68.53
USA,2020,River,7.14,5.77,54.74,36,67.01
USA,2017,Tap,7.19,6.34,47.06,16,43.59
China,2022,Lake,7.17,3.72,98.38,3,22.51
India,2023,River,6.08,3.05,31.8,49,94.94
Nigeria,2009,Well,6.6,3.39,80.52,17,48.44
Ethiopia,2012,Spring,6.39,4.35,47.34,27,63.1
Bangladesh,2016,River,8.22,6.2,86.79,49,31.5
Mexico,2017,Lake,6.69,3.15,51.79,15,40.09
Brazil,2009,Lake,6.35,4.09,43.11,42,54.82
Mexico,2015,Pond,6.3,8.47,78.51,7,64.98
Indonesia,2019,Well,7.75,8.34,48.03,43,88.32
USA,2004,River,6.02,8.53,63.99,17,43.23
Bangladesh,2012,Tap,7.18,9.45,39.21,49,89.74
Indonesia,2017,River,6.3,3.83,80.72,28,56.68
Nigeria,2016,Pond,8.12,4.14,58.48,39,54.61
Brazil,2008,Lake,8.4,5.33,39.84,15,51.71
India,2013,Well,8.4,9.41,81.91,29,90.89
Bangladesh,2016,Well,7.1,8.43,37.24,48,40.08
Bangladesh,2003,Tap,7.61,5.27,70.24,33,88.59
USA,2017,Well,7.5,3.61,72.52,29,27.13
Pakistan,2019,Pond,6.88,7.31,95.12,20,96.43
Bangladesh,2023,Pond,7.11,4.8,40.57,21,60.24
China,2023,Pond,6.16,6.72,75.73,46,99.91
Brazil,2014,Well,7.99,9.59,56.65,24,68.63
Brazil,2010,Well,6.6,7.01,58.06,21,29.41
China,2011,Pond,7.15,9.47,65.13,27,24.87
Ethiopia,2008,Well,7.2,5.75,46.36,38,35.47
China,2012,Well,7.4,7.43,62.28,32,53.69
China,2014,Lake,8.04,9.26,78.08,1,79.78
Brazil,2014,River,7.73,7.12,62,3,20.06
Mexico,2004,Spring,7.66,7.3,32.98,15,40.59
Brazil,2022,Well,7.32,8.01,48.05,11,67.01
Pakistan,2018,Spring,6.24,9.17,54.6,16,43.83
USA,2019,Spring,7.01,3.62,54.83,35,48.56
Indonesia,2024,Lake,8.39,5.36,35.67,15,44.06
Mexico,2013,Well,8.49,5.78,61.47,38,96.25
India,2016,Pond,7.83,9.37,78.44,22,25.27
Indonesia,2017,Spring,6.57,9.69,33.41,7,92.6
USA,2020,Well,6.25,3.84,82.56,8,45.86
Pakistan,2002,Tap,7.04,3.83,96.86,13,39.72
Pakistan,2001,Pond,8.14,9.54,30.65,8,90.66
India,2000,Tap,7.8,5.07,43.56,46,42.97
Mexico,2009,Tap,8.21,4.69,68.04,25,99
Ethiopia,2018,Spring,7.54,3.25,45.26,35,63.85
China,2016,Tap,6.33,4.93,83.52,2,58.11
Mexico,2011,Lake,6.29,7.85,51.85,9,98.12
Ethiopia,2000,Lake,6.12,5.98,50.55,24,38.14
Pakistan,2011,Spring,7.42,6.62,30.06,3,92.72
Brazil,2016,Well,6.61,9.42,48.91,29,67.32
USA,2023,River,7.84,3.8,45.24,49,80.4
India,2002,Well,7.72,3.5,54.03,10,66.56
USA,2010,Well,6.8,8.96,40.34,18,69.49
Nigeria,2016,Well,6.44,8.42,71.63,49,32.39
Nigeria,2022,Well,6.26,4.85,46.71,12,32.13
Mexico,2002,Pond,7.84,5.27,88.22,35,51.77
Pakistan,2007,River,7.13,5.17,49.92,2,47.71
Pakistan,2019,Pond,6.81,7.53,44.76,47,76.96
China,2003,Tap,8.14,3.43,33.97,13,77.82
China,2020,Well,7.48,6.43,81.79,9,65.1
China,2021,Lake,7.3,3.94,65.57,37,52.16
Brazil,2006,Spring,7.86,8.74,37.96,39,74.14
Indonesia,2013,Spring,8.04,5.66,45.49,26,74.99
Bangladesh,2013,Pond,7.72,6.69,99.91,23,84.73
Indonesia,2003,Pond,7.1,3.21,86.42,15,84.94
USA,2015,Lake,6.95,3.41,54.49,9,25.57
Indonesia,2023,Well,7.93,7.73,67.98,26,49.92
Brazil,2021,River,7.29,8.37,59.12,6,53.59
USA,2000,Tap,7.76,7.97,32.55,27,87.75
Indonesia,2016,Spring,8.23,8.16,84.51,25,60.14
Brazil,2024,Tap,8.29,3.73,80.19,17,59.1
Bangladesh,2009,River,6.69,7.85,58.62,12,64.3
Indonesia,2021,Pond,6.47,4.27,89.21,7,30.18
Brazil,2015,Spring,6.65,3.69,67.43,26,65.22
China,2015,Tap,7.88,8.3,34.56,13,64.12
Pakistan,2007,Pond,6.93,9.23,48.16,40,80.35
China,2006,River,6.43,8.02,62.32,43,70.73
Pakistan,2005,Tap,6.25,8.64,37.24,5,96.4
India,2015,Well,6.82,9.94,69.98,19,26.41
India,2019,Pond,6.34,3.94,38.44,27,81.73
India,2015,River,6.39,9.76,44.04,22,80.12
Bangladesh,2006,Tap,7.71,7.21,92.58,11,41.55
China,2008,Well,6.05,8.69,99.99,23,75.88
Pakistan,2013,Well,6.29,7.55,68.52,43,72.75
Brazil,2010,River,8.11,6.99,73.38,21,43.9
USA,2013,Lake,8.11,7.93,85.82,25,77.9
Brazil,2006,Spring,6.82,5.24,78.73,21,94.45
USA,2000,River,6.22,9.47,42.77,6,44.42
Nigeria,2024,Well,7.76,3.81,58.82,14,98.41
Brazil,2012,Well,6.9,5.23,67.46,47,37.94
Indonesia,2019,River,6.11,3.22,55.18,29,30.77
Indonesia,2002,Lake,6.39,4.9,42.33,3,26.16
Mexico,2019,Spring,6.34,4.53,81.53,5,37.09
China,2003,Tap,7.47,3.35,43.92,47,47.4
USA,2010,River,8.25,6.44,48.23,46,78.65
USA,2001,Spring,7.98,6.28,50.06,1,25.76
China,2013,Spring,7.37,3.54,41.32,30,60.58
Bangladesh,2011,Pond,7.06,4.83,89.47,23,61.5
Mexico,2016,Well,7.55,9.67,72.74,34,38.24
Bangladesh,2011,Tap,7.11,3.78,88.43,46,23.64
Bangladesh,2011,River,6.62,5.14,64.56,30,38.01
Bangladesh,2000,Well,7.7,3.25,66.37,24,38.43
China,2012,Pond,8.18,4.04,73.13,7,75.04
Bangladesh,2013,Pond,6.93,7.9,55.96,11,38.7
Indonesia,2023,Well,8.1,5.57,64.76,1,47.22
India,2001,Lake,7.08,6.16,68.28,14,23.79
Nigeria,2011,Spring,7,4.1,96.75,39,69.92
USA,2020,River,6.07,7.77,91.8,31,57.93
USA,2015,River,7.74,8.26,39.05,10,47.6
Nigeria,2003,River,8.02,4.27,32.89,16,76.23
China,2007,Well,7.66,3.31,77.62,20,74.57
Brazil,2001,Lake,6.38,3.57,33.44,21,46.23
China,2009,Tap,6.26,7.6,34.22,32,76.75
USA,2008,Pond,7.43,3.95,41.15,28,47.86
USA,2022,Well,7,6.46,54.62,14,37.76
Nigeria,2014,Tap,7.07,4.07,60.45,20,77.59
Bangladesh,2012,Pond,8.42,4.19,66.36,1,78.24
China,2022,Pond,7.81,3.03,99.46,41,89.26
Pakistan,2016,Lake,7.03,5.25,56.97,37,60.08
Nigeria,2015,Spring,6.05,3.63,46.99,2,38.59
Indonesia,2001,River,6.09,5.76,70.27,24,86.95
USA,2019,Tap,7.71,7.18,45.06,12,33.97
Nigeria,2019,Well,8.09,5.57,95.84,23,95.09
China,2013,Tap,7.77,7.94,48.15,30,44.53
USA,2002,Spring,7.01,8.19,99.3,14,21.5
Brazil,2022,River,6.08,7.88,59.31,5,34.94
Nigeria,2011,Tap,8.42,9.56,86.89,40,53.18
Mexico,2007,Spring,8.47,4.66,75.38,9,24.42
USA,2001,Well,7.37,4.33,95.34,8,52.76
China,2003,Lake,6.18,7.27,73.78,49,36.23
India,2013,Pond,7.35,7.16,70.69,40,21.52
Pakistan,2015,Well,8.23,6.57,75.7,49,43.92
Ethiopia,2018,River,7.7,3.03,85.05,40,38.1
Bangladesh,2001,Pond,7.8,6.89,92.92,4,53.58
Ethiopia,2011,Well,6.21,9.53,48.68,44,80.72
China,2013,Well,6.27,5.34,44.06,43,60.78
Indonesia,2005,Well,6.32,9.77,32.4,40,81.45
Indonesia,2012,Well,8.26,5.5,55.91,18,46.93
India,2003,Pond,7.31,3.98,89.23,19,21.05
Bangladesh,2021,River,7.98,5.79,34.89,32,93.77
Mexico,2017,Spring,6.29,6.46,67.7,42,45.18
India,2011,Tap,8.32,7.41,78.64,36,62.15
Ethiopia,2019,Lake,8.05,6.53,88.58,30,57.54
India,2021,Tap,6.56,6.76,70.84,38,66.65
Ethiopia,2020,Tap,8.19,3.17,43.04,12,90.8
USA,2018,Lake,6.66,4.78,97.52,37,89.38
Indonesia,2007,Pond,6.51,5.17,36.63,44,98.48
USA,2006,River,6.66,9.91,83.83,5,62.27
Pakistan,2015,Lake,8.27,5.07,36.06,46,93.8
Bangladesh,2018,River,8.29,9.28,40.04,7,58.6
Mexico,2005,Pond,6.82,5.13,92.88,42,23.55
Ethiopia,2019,Tap,7.76,3.67,82.72,9,31.7
Mexico,2020,River,7.69,4.73,55.59,40,46.72
Ethiopia,2010,Pond,8.02,4.91,74.71,3,78.04
China,2004,Pond,6.74,9.85,62.01,13,26.51
India,2015,Spring,7.28,7.72,34.66,3,48.92
Pakistan,2006,Lake,7.67,9.52,80.48,23,98.59
Indonesia,2004,Spring,6.07,8.84,83.43,46,82.85
Ethiopia,2010,Tap,6.94,7.05,91.76,20,65.76
Mexico,2014,Lake,7.74,7.73,67.84,9,24.94
Pakistan,2002,Tap,6.63,7.37,77.12,45,21.17
Brazil,2004,Spring,8.39,7.66,60.66,24,28.42
Brazil,2022,Pond,6.08,4.85,52.32,5,46.17
USA,2020,Tap,8.4,5.86,58.82,15,68.51
Indonesia,2004,Lake,6.54,7.15,93.82,43,35.8
China,2008,Lake,6.12,3.25,41.49,27,24.09
Mexico,2014,Tap,6.73,6.38,47.39,35,27.27
India,2002,Lake,7.97,9.02,72.43,32,54.14
India,2005,Pond,7.88,6.45,38.14,29,81.85
Mexico,2016,Pond,6.52,6.87,92.43,35,85.69
Bangladesh,2020,Lake,6.49,4.41,33.31,24,43.28
China,2007,Tap,7.61,8.56,82.87,12,73.08
Pakistan,2020,Spring,7.15,5.51,56.16,38,51.42
Ethiopia,2024,Lake,7.98,9.7,33.58,14,97.8
Bangladesh,2010,Lake,6.06,9.96,89,37,52.4
Ethiopia,2005,Lake,7.53,9.41,74.83,29,51.67
Ethiopia,2007,Lake,7.83,3.59,30.62,13,60.13
Bangladesh,2009,Tap,8.48,5.33,48.73,49,22.04
USA,2023,Spring,7.7,9.62,54.64,3,53.43
Brazil,2002,Spring,6.58,8.63,52.58,0,86.3
Ethiopia,2022,River,6.27,9.38,64.88,2,68.97
Bangladesh,2013,Lake,7.6,7.01,66.88,44,97.55
Bangladesh,2022,Lake,7.31,6.36,57.77,49,46.05
Nigeria,2013,River,8.25,3.75,53.22,35,32.92
USA,2009,Spring,7.82,8.88,65.31,3,80.05
Indonesia,2011,Well,7.27,8.22,32.35,42,23.49
Nigeria,2005,Pond,7.01,3.41,75.16,13,32.76
Nigeria,2011,Well,7.01,4.47,72.42,24,60.56
Mexico,2022,Spring,6.57,6.9,49.55,38,80.28
Brazil,2013,Lake,6.04,7.79,42.57,2,68.08
Bangladesh,2001,Well,7.44,3.96,35.11,6,99.59
Brazil,2008,Tap,6.53,4.71,71.11,7,72.4
China,2009,Tap,6.52,4.35,69.82,43,78
Mexico,2016,River,6.31,4.54,67.33,6,99.51
Indonesia,2016,Spring,6.47,9.44,98.99,47,67.4
Brazil,2002,Spring,6.08,8.01,67.21,24,77.17
India,2018,Well,7.69,8.16,80.53,16,43.87
Ethiopia,2000,Lake,7,8.56,37.9,25,62.94
China,2011,Spring,7.4,5.5,50.93,3,92.96
USA,2006,Well,7.59,8.37,49.28,48,88.27
Indonesia,2003,Well,8.43,9.85,70.32,17,44.5
China,2009,Pond,6.17,7.89,53.16,3,48.58
Ethiopia,2012,Pond,7.04,5.92,74.87,16,87.71
Mexico,2001,Spring,6.61,8.01,78.31,46,42.77
Ethiopia,2009,Well,7.19,9.31,32.36,16,91.01
Nigeria,2020,River,8.3,3.9,74.78,44,81.9
Ethiopia,2021,River,7.81,4.86,38.18,24,32.19
Nigeria,2024,Pond,7.65,9.44,62.56,2,77.58
Mexico,2003,Spring,7.1,9.62,80.86,11,86.75
Pakistan,2017,Lake,7.68,6.39,79.23,26,31.55
Nigeria,2004,River,6.08,5.62,50.99,16,56.59
USA,2018,River,7.47,4.98,49.07,21,89.01
Ethiopia,2001,Pond,7.38,6.49,60.82,38,35.89
Ethiopia,2011,Pond,6.87,9.54,43.21,38,55.93
USA,2016,Spring,6.5,4.05,98.23,42,69.02
India,2009,Pond,8.02,5.94,54.14,47,27.78
Bangladesh,2001,Tap,6.13,9.38,94.61,35,36.96
Pakistan,2005,Well,6.17,5.44,93.58,15,57.34
Indonesia,2007,River,7.1,8.38,55.54,36,49.89
Nigeria,2018,Tap,6.63,5.72,47.79,28,45.98
USA,2010,Lake,7.86,8.63,83.96,13,22.11
Mexico,2024,Tap,7.59,9.87,46.06,6,94.23
Nigeria,2011,Spring,7.93,5.71,66.49,40,89.71
Bangladesh,2008,Lake,6.81,8.92,37.75,27,51.41
Mexico,2001,Lake,7.85,9.92,57.02,12,34.51
China,2007,Pond,8.16,9.89,35.47,15,25.52
Ethiopia,2010,Tap,6.86,6.04,49.84,20,29.86
China,2020,Spring,6.85,6.4,76.57,3,68.16
Nigeria,2003,River,8.25,5.12,99.39,38,78.71
Bangladesh,2009,Pond,6.12,5.2,47.84,34,32.51
Pakistan,2020,Tap,6.88,6.45,63.13,14,29.02
Nigeria,2019,River,6.3,4.4,61.36,25,75.29
USA,2015,Tap,6.07,7.98,42.89,45,61.36
Brazil,2007,Pond,6.28,6.75,72.7,6,49.75
Nigeria,2003,River,7.08,9.29,80.73,17,78
Ethiopia,2009,Pond,7.72,8.67,40.31,24,56.45
Ethiopia,2011,Tap,6.72,5.26,83,36,57.21
Nigeria,2013,Lake,8.12,6.54,79.01,20,21.26
Mexico,2015,Well,7.09,8.25,43.81,7,45.28
Brazil,2021,Lake,8.42,4.35,75.43,19,20.4
USA,2017,Pond,8.39,3.22,57.56,17,93.91
Nigeria,2020,Pond,7.93,8.97,77.68,18,43.52
Mexico,2021,Pond,8.33,3.96,64.73,2,34.44
Ethiopia,2020,River,7.77,9.23,33.37,37,27.27
Ethiopia,2011,Spring,8.24,9.4,85.09,17,23.73
Bangladesh,2017,Pond,6.59,6.22,68.89,26,90.88
Nigeria,2006,Lake,6.86,8.65,80.74,14,33.48
Brazil,2019,Well,7.88,5.54,38.83,45,69.4
India,2023,Pond,7.06,9.01,80.49,20,72.1
Brazil,2022,Pond,8.09,8.77,58.96,21,45.4
Ethiopia,2006,Pond,8.19,3.55,85.95,7,86.66
Ethiopia,2008,River,6.75,7.08,71.94,10,37.12
China,2000,Pond,8.06,7.48,54.84,42,25.72
Ethiopia,2005,Lake,6.39,3.01,44.13,11,25.48
USA,2005,Tap,6.84,9.86,87.11,47,44.03
Indonesia,2021,Spring,7.29,5.85,69.21,38,57.06
Nigeria,2011,Pond,6.57,6.62,99.12,26,70.35
Brazil,2021,River,7.45,4.36,56.14,34,78.3
Indonesia,2011,Lake,7.45,7.28,78,1,34.3
Mexico,2009,Pond,6.52,8.67,73.6,34,74.71
India,2022,River,7.99,7.1,74.63,30,34.6
USA,2005,Tap,7.58,8.52,81.59,7,99.78
Brazil,2016,Well,6.79,8.12,39.74,19,96.73
Indonesia,2018,Pond,6.58,4.66,68.48,7,28.19
India,2017,Lake,8.2,6.05,65.64,3,72.41
China,2005,River,8.09,4.04,53.98,30,92.26
USA,2023,River,6.57,3.29,60.53,31,26.46
USA,2018,Pond,6.09,3.44,66.32,12,29.92
China,2009,River,8.01,9.6,52.46,21,47.76
Nigeria,2023,Well,7.54,9.89,50.52,25,27.66
China,2007,River,6.25,3.66,81.68,16,90.85
USA,2020,Spring,7.47,5.35,34.68,28,90.04
USA,2023,Spring,7.13,3.8,51.91,26,95.9
Indonesia,2005,River,7.94,8.84,75.76,21,36.4
Ethiopia,2020,Pond,6.52,6.47,44.61,17,23.63
India,2024,Spring,7.13,7.35,70.06,4,55.57
China,2006,Lake,6.39,6.78,51.15,11,90.44
India,2023,Spring,8.39,7.97,89.03,1,71.08
China,2000,River,7.95,5.23,54.5,41,99.87
Mexico,2017,Pond,7.84,3.96,46.07,6,92.45
USA,2023,Tap,7.73,3.12,67.11,46,51.42
Ethiopia,2024,Pond,7.06,6.12,39.5,25,23.16
Indonesia,2019,Pond,8.31,9.35,85.82,38,20.41
Ethiopia,2011,Pond,6.18,5.14,77.6,14,71.54
Ethiopia,2015,Lake,8.01,4.37,83.94,47,93.26
Ethiopia,2009,Well,6.54,9.48,57.92,32,55.54
India,2009,River,6.81,3.74,88.45,46,89.94
China,2013,Well,7.3,3.36,64.55,2,65.34
Pakistan,2024,Tap,7.96,9.16,36.63,41,27.84
Mexico,2019,Well,8.1,7.91,45.68,47,83.87
Brazil,2009,River,7.46,5.95,79.77,1,59.41
Ethiopia,2009,River,7.01,8.27,92.75,16,24.09
Nigeria,2024,Tap,8.37,8.19,36.66,0,85.17
India,2010,River,6.62,3.28,90.5,35,80.61
